bookName,authorName,religion,numCopies,checkedOutCopies
A World Full of Gods: The Strange Triumph of Christianity,Keith Hopkins,Christianity,1,0
Acts: A Commentary,Carl R. Holladay,Christianity,1,0
"Adam and Eve in Scripture, Theology, and Literature: Sin, Compassion, and Forgiveness",Peter B. Ely,Christianity,1,0
After the New Testament,Bart D. Ehrman,Christianity,1,0
Agape and Diakonia: Esasys in Memory of Bishop Gerasimos of Abydos,Fr. Pter A. Chamberas,Christianity,1,0
Ambrose,Boniface Ramsey O.P.,Christianity,1,0
An Exposition of the Seven Church Ages,William Marrion Branham,Christianity,1,0
Anatomy of the New Testament,"Robert A Spivey, D. Moody Smith, C. Clifton Black",Christianity,1,0
Ancient Apocryphal Gospels,Markus Bockmuehl,Christianity,1,0
Ancient Christian Commentary on Scripture:  New Testament VII - 1-2 Corinthians,Gerald Bray,Christianity,1,0
Ancient Christian Commentary on Scripture: New Testament I  - Genesis 1-11,Andrew Louth,Christianity,1,0
Ancient Christian Commentary on Scripture: New Testament Ia - Matthew 1-13,Manlio Simonetti,Christianity,1,0
Ancient Christian Commentary on Scripture: New Testament Ib - Matthew 14-28,Manlio Simonetti,Christianity,1,0
Ancient Christian Commentary on Scripture: New Testament III - Luke ,Arthur A. Just Jr.,Christianity,1,0
Ancient Christian Commentary on Scripture: New Testament IVa - John 1-10,Joel C. Elowsky,Christianity,1,0
Ancient Christian Commentary on Scripture: New Testament IVb - John 11-21,Joel C. Elowsky,Christianity,1,0
"Ancient Christian Commentary on Scripture: New Testament IX - Colossians, 1-2 Thessalonians, 1-2 Timothy, Titus, Philemon",Peter Gorday,Christianity,1,0
Ancient Christian Commentary on Scripture: New Testament V - Acts,Francis Martin,Christianity,1,0
Ancient Christian Commentary on Scripture: New Testament VI - Romans,Gerald Bray,Christianity,1,0
"Ancient Christian Commentary on Scripture: New Testament VIII - Galatians, Ephesians, Philippians",Mark J. Edwards,Christianity,1,0
Ancient Christian Commentary on Scripture: New Testament X - Hebrews,Erik M. Heen and Philip D. W. Krey,Christianity,1,0
"Ancient Christian Commentary on Scripture: New Testament XI - James, 1-2 Peter, 1-3 John, Jude",Gerald Bray,Christianity,1,0
Ancient Christian Commentary on Scripture: New Testament XII - Revelation,William C. Weinrich,Christianity,1,0
Ancient Christian Commentary on Scripture: Old Testament II - Genesis 12-50,Mark Sheridan,Christianity,1,0
"Ancient Christian Commentary on Scripture: Old Testament III - Exodus, Leviticus, Numbers, Deuteronomy",Joseph T. Lienhard,Christianity,1,0
"Ancient Christian Commentary on Scripture: Old Testament IV - Joshua, Judges, Ruth, 1-2 Samuel",John R. Franke,Christianity,1,0
"Ancient Christian Commentary on Scripture: Old Testament IX - Proverbs, Ecclesiasstees, Song of Solomon",J. Robert Wright,Christianity,1,0
"Ancient Christian Commentary on Scripture: Old Testament V - 1-2 Kings, 1-2 Chronicles, Ezra, Nehemiah, Esther",Marco Conti,Christianity,1,0
Ancient Christian Commentary on Scripture: Old Testament VI - Job,Manlio Simonetti and Marco Conti,Christianity,1,0
Ancient Christian Commentary on Scripture: Old Testament VII - Psalms 1-50,Craig A. Blaising and Carmen S. Hardin,Christianity,1,0
Ancient Christian Commentary on Scripture: Old Testament VIII - Psalms 51-150,Quentin F.  Wesselschmidt,Christianity,1,0
Ancient Christian Commentary on Scripture: Old Testament X - Isaiah 1-39,Steven A. McKinion,Christianity,1,0
Ancient Christian Commentary on Scripture: Old Testament XI - Isaiah 40-66,Mark W. Elliott,Christianity,1,0
"Ancient Christian Commentary on Scripture: Old Testament XII - Jeremiah, Lamentations",Ddean O. Wenthe,Christianity,1,0
"Ancient Christian Commentary on Scripture: Old Testament XIII - Ezekiel, Daniel",Kenneth Stevenson and Michael Glerup,Christianity,1,0
Ancient Christian Commentary on Scripture: Old Testament XIV - The Twelve Prophets,Alberto Ferreiro,Christianity,1,0
Ancient Christian Commentary on Scripture: Old Testament XV - Apocrypha,Sever J. Voicu,Christianity,1,0
Ancient Christianity Commentary on Scripture: New Testament II: Mark,Thomas C. Oden & Christopher A. Hall,Christianity,1,0
Ancient Gospel or Modern Forgery: The Secret Gospel of Mark in Debate,Tony Burke,Christianity,1,0
Ancient Greece,Paul Cartledge,Christianity,1,0
Apocalyptic Literature in the New Testament,Greg Carey,Christianity,1,0
Apocalyptic Thought in Early Christianity,Robert J. Daly,Christianity,1,0
Aquinas on Nature and Grace,A.M. Fairweather,Christianity,1,0
Armenian Apocrypha Relating To Angels and Biblical Heroes,Michael Stone,Christianity,1,0
Atlas of the Biblical World,"Mark Vitalis Hoffman, Robert A. Mullins",Christianity,1,0
Augustine:  Later Works,John Burnaby,Christianity,1,0
Augustine: Earlier Writings,J. H. S. Burleigh,Christianity,1,0
Augustus to Constantine: The Rise and Triump of Christianity in the Roman World,Robert M. Grant,Christianity,1,0
Authenticating the Activities of Jesus,Bruce Chiliton & Craig A. Evans,Christianity,1,0
Authenticating the Words of Jesus,Bruce Chiliton & Craig A. Evans,Christianity,1,0
Belief & Practice in the Orthodox Church,Eusebius Stephanou,Christianity,1,0
Biblical Interpretation in the Early Church,Michael Graves,Christianity,1,0
Brothers for Resistance and Rescue: The Underground Zionist Youth Movement in Hungary during World War II,David Gur,Christianity,1,0
Byzantine Christianity,Derek Krueger,Christianity,1,0
Calvin: Commentaries,Joseph Haroutunian,Christianity,1,0
Calvin: Instituted of the Christian Religion (1 and 2),John T. McNeil,Christianity,1,0
Christian Attitudes Toward War & Peace: A Historical Survey and Critical Re-evaluation,Roland H. Bainton,Christianity,1,0
"Christian Oxyrhynchus: Texts, Documents, and Sources",Lincoln H. Blumell and Thomas A. Wayment,Christianity,1,0
Christian Social Teachings,George W. Forell,Christianity,1,0
Christian Spirituality: Origins to the Twelfth Century,"Bernard McGinn, John Meyendorf, and Jean Leclercq",Christianity,2,0
Christianity in European History,William A. Clelbsch,Christianity,1,0
Christianity in the Greco-Roman World,Moyer V. Hubbard,Christianity,1,0
Christianity: How a Tiny Sect from a Despised Religion came to Dominate the Roman Empire,Jonathon Hill,Christianity,1,0
Christianization and the Rise of Christian Monarchy,Nora Berend,Christianity,1,0
Christianizing Egypt: Syncretism and Local Worlds in Late Antiquity,David Frankfurter,Christianity,1,0
Christobiography,Craig Keener,Christianity,1,0
Colonialism and the Bible: Contemporary Reflections from the Global South,Tat-Siong Benny Liew and Fernando F. Segovia,Christianity,1,0
Confessions,Saint Augustine,Christianity,1,0
"Contextualizing the Sacred in the Hellenistic and Roman Near East: Religious Identities in Local, Regional, and Imperial Settings",Rubina Raja,Christianity,1,0
Cosmos Crumbling,Robert H. Abzug,Christianity,1,0
Critical Review of Books in Religion 1993,Eldon Jay Epp,Christianity,1,0
Das hellenistische Gymnasion,Akademie Verlag,Christianity,1,0
Dictionary of Early Christian Literature,Siegmar Dopp and Wilhelm Geerlings,Christianity,1,0
Dictionary of Ecclesiastical Latin,Leo F. Stelten,Christianity,1,0
Documents and Images for the Study of Paul,Neil Elliot and Mark Reasoner,Christianity,1,0
Documents of the Christian Church (2nd Edition),Henry Bettenson,Christianity,1,0
Early Biblical Intrepretation,James L. Kugel,Christianity,1,0
Early Latin Theology,S. L. Greenslade,Christianity,1,0
Eastern Christian Worlds,Mahmoud Zibawi,Christianity,1,0
Eerdmans Dictionary of the Bible,David Noel Freedman,Christianity,1,0
Encyclopedia of Christian Theology (Volumes 1-3),Jean-Yves Lacoste,Christianity,1,0
Encyclopedia of Early Christianity,"Everett Ferguson, Michael P McHugh, Frederick W. Norris",Christianity,1,0
Essential Papers on Hassidism,Gershon David Hundbert,Christianity,1,0
Essential Papers on Judaism and Christianity in Conflict,Jeremy Cohen,Christianity,1,0
Essential Papers on Messianic Movements and Personality in Jewish History,Marc Saperstein,Christianity,1,0
Essential Papers on the Talmud,Michael Chernick,Christianity,1,0
Essential Papers on Zionism,Jehuda Reinharz and Anita Shapira,Christianity,1,0
Evagrius Ponticus,A.M. Casiday,Christianity,1,0
Evangelicalism,Mark A. Noll,Christianity,1,0
Everyday Writing in the Greco-Roman East,Roger S. Bagnall,Christianity,1,0
Feminist Theory and the Bible: Interrogating the Sources,Esther Fuchs,Christianity,1,0
Figures of Ezra,"Jan N. Bremmer, Veronika Hirschberger, and Tobias Nicklas",Christianity,1,0
Flavius Josephus: Selections from His Works,N/A,Christianity,1,0
Framing Paul: An Epistolary Biography,Douglas A. Campbell,Christianity,1,0
From Rome to Early Christian Thessalonikē,N/A,Christianity,1,0
From the Maccabees to the Mishnah,Shaye J.D. Cohen,Christianity,1,0
Fundamentalism: The Search for Meaning,Malise Ruthven,Christianity,1,0
"Galilee in the Late Second Temple and Mishnaic Periods: Life, Culture, and Society - Volume 1",David A. Fiensy and James Riley Strange,Christianity,1,0
Gods and the One God,Robert M. Grant,Christianity,1,0
"Golden Mouth: The Story of John Chrysostom--Ascetic, Preacher, Bishop",J. N. D. Kelly,Christianity,1,0
Gregory of Nazianzus,"Brian E. Daley, S.J.",Christianity,1,0
Gregory of Nyssa,Anthony Meridith S.J.,Christianity,1,0
Gregory the Great,John Moorhead,Christianity,1,0
Guardian of American Orthodoxy: Charles Hodge,Paul C. Gutjahr,Christianity,1,0
Her Story: Women in Christian Tradition,Barbara J. MacHaffie,Christianity,1,0
Historical Commentary on the Augsburg Confession,Wilhelm Maurer,Christianity,1,0
History of Global Christianity: Volume 1 - European and Global Christianity ca. 1500-1789,Jens Holger Schjorring and Norman A. Hjelm,Christianity,1,0
History of Global Christianity: Volume 2 - History of Christianity in the 19th century,Jens Holger Schjorring and Norman A. Hjelm,Christianity,1,0
Holy Bible: New Revised Standard Version,N/A,Christianity,2,0
Houseboy,Ferdinand Oyono,Christianity,1,0
Icons in the Western Church: Toward a More Sacramental Encounter,Jeana Visel,Christianity,1,0
In Search of the Phoenicians,Josephine Quinn,Christianity,1,0
In the Beginning,Alister McGrath,Christianity,1,0
In the Footsteps of Jesus: A Chronicle of His Life and the Origins of Christianity,Jean-Pierre Isbouts,Christianity,2,0
Into the World of the New Testament: Greco-Roman and Jewish Texts and Contexts,Daniel Lynwood Smith,Christianity,1,0
Introduction to the Old Testament,Roland Kenneth Harrison,Christianity,1,0
Introduction to the Old Testament,James King West,Christianity,1,0
Jesus & the Forgotten City: New Light on Sepphoris and the Urban World of Jesus,Richard A. Batey,Christianity,1,0
Jesus of Arabia: Christ through Middle Eastern Eyes,Andrew Thompson,Christianity,1,0
Jesus Under Fire: Modern Scholarship Reinvents the Historical Jesus,Michael J. Wilkins and J.P. Moreland,Christianity,1,0
Late Antiquity: A Guide to the Postclassical World,G.W. Bowersock and Peter Brown and Oleg Grabar,Christianity,1,0
Late Medieval Mysticism,Ray C. Petry,Christianity,1,0
Letter Writing in Greco-Roman Antiquity,Stanley K. Stowers,Christianity,1,0
Lindisfarne Gospels (Part 1 and 2),N/A,Christianity,1,0
"Liturgical Subjects: Christian Ritual, Biblical Narrative, and the Formation of the Self in Byzantium",Derek Krueger,Christianity,1,0
Luther: Lectures on Romans,Wilhelm Pauck,Christianity,1,0
Melanchthon and Bucer,Wilhelm Pauch,Christianity,1,0
Miracles and the Kingdom of God,Myrick C. Shinall Jr.,Christianity,1,0
"Moral Exhortation, A Greco-Roman Sourcebook",Abraham J. Malherbe,Christianity,1,0
New Testament Apocrypha - Volume Two: Writings Relating to the Apostles: Apocalypses and Related Subjects,Wilhdelm Schneemelcher,Christianity,1,0
Old Testament Pseudepigrapha and the Scriptures,Eibert Tigchelaar,Christianity,1,0
Origen,Jonathon W. Trigg,Christianity,1,0
Pascal's Pensees,T.S. Eliot,Christianity,1,0
Paul and His Recent Interpreters,N. T. Wright,Christianity,1,0
Paul in the Greco-Roman World - Volumes 1-4,J. Paul Sampley,Christianity,1,0
Photian Studies,George Papademetriou,Christianity,1,0
Protestant Christianity Interpreted Through its Development,John Dillenburger and Clause Welch,Christianity,2,0
Reading Proverbs Intertextually,"Katharine Dell, Will Kynes",Christianity,1,0
Reading Scripture with the Church Fathers,Christopher A. Hall,Christianity,1,0
Reformers in the Wings from Geiler von Kaysersberg to Theodore Beza: Second Edition,David C. Steinmetz,Christianity,1,0
"Religious Foundations of Western Civilization: Judaism, Christianity, and Islam",Jacob Neusner,Christianity,1,0
Resurrecting Easter,John Dominic Crossan,Christianity,1,0
Saints in the Struggle ,Jonathan Chism,Christianity,1,0
Science and Health with Key to the Scriptures,Mary Baker Eddy,Christianity,1,0
Scribes and Scrolls at Qumran,Sidnie White Crawford,Christianity,1,0
Sin: The Early History of an Idea,Paula Fredriksen,Christianity,1,0
Soldering for God: Christianity and the Roman Army,John F. Shean,Christianity,1,0
Solomons's Divine Arts,Joseph Hall,Christianity,1,0
Suffering and Evil in Early Christian Thought,Nonna Verna Harrison and David G. Hunter,Christianity,1,0
Symeon the Holy Fool: Leontius's Life and the Late Antique City,Derek Krueger,Christianity,1,0
The Aeneid of Virgil,Allen Mandelbaum,Christianity,1,0
The Aramaic Bible: Targum Neofiti 1: Deuteronomy Vol. 5A,Martin McNamara,Christianity,1,0
The Aramaic Bible: Targum Neofiti 1: Leviticus and Targum Pseudo-Jonathon: Leviticus Vol.3,Martin McNamara and Robert Hayward,Christianity,1,0
The Aramaic Bible: Targum Pseudo-Jonathon: Deuteronomy Vol. 5B,Ernest G. Clarke,Christianity,1,0
The Aramaic Bible: Targum Pseudo-Jonathon: Genesis Vol. 11,Michale Maher,Christianity,1,0
The Aramaic Bible: The Isaiah Targum Vol. 1B,Bruce D. Chilton,Christianity,1,0
"The Aramaic Bible: The Targum of Job, The Targum of Proverbs, The Targum of Qohelet Vol. 15","Celine Mangan, John F. Healey, Peter S. Knobel",Christianity,1,0
The Aramaic Bible: The Two Targums of Esther,Bernard Grossfeld,Christianity,1,0
The Archaeology of Society in The Holy Land,Thomas E. Levy,Christianity,1,0
The Bible as Book: The Transmission of the Greek Text,Scott McKendrick and Orlaith O'Sullivan,Christianity,1,0
The Bible from Late Intiquity to the Renaissance: Writing and Images from the Vatican Libraru,Ambrogio M. Piazzoni with Francesca Manzari,Christianity,1,0
The Bible of the Poor,Albert C. Labriola and Joohn W. Smeltz,Christianity,1,0
The Bible with the Apocrypha (The Authoritative Modern Translation),N/A,Christianity,1,0
The Blackwell Dictionary of Eastern Christianity,"Ken Parry, etc.",Christianity,1,0
The Book of Esther and the Typology of Female Transfiguration in American Literature,Ariel Clark Silver,Christianity,1,0
The Book of Magic: From Antiquity to the Enlightenment,Brian Copenhaver,Christianity,1,0
The Book of Revelation,Clarence Larkin,Christianity,1,0
The Book of Saints: A Comprehensize Biographical Dictionary,Dom Basil Watkins,Christianity,1,0
The Books of the Bible: The Apocrypha and the New Testament,Bernhard W. Anderson,Christianity,1,0
The Books of the Bible: The Old Testament/The Hebrew Bible,Bernhard W. Anderson,Christianity,1,0
The Cambridge Companion to Augustine,Eleonore Stump and Normal Kretzmann,Christianity,1,0
"The Changing Face of Christianity: Africa, the West, and the World",Lamin Sanneh and Joel A. Carpenter,Christianity,1,0
The Changing Faces of Jesus,Geza Vermes,Christianity,1,0
The Christian Theological Tradition Reader,Catherine A. Cory,Christianity,1,0
The Church and the Library: Studied in Honor of Rev. Dr. George C. Papademetriou,Dean Papademetriou and Andrew J. Sopko,Christianity,1,0
The Clash of God - A Reinterpretation of Early Christian  Art,Thomas F. Mathews,Christianity,1,0
The Coptic Gnostic Library: A Complete Edition of the Nag Hammadi Codices - Volumes 1 - 5,James M. Robinson,Christianity,1,0
The Counter Reformation,A.G. Dickens,Christianity,1,0
"The Dead Sea Scrolls, A Biography",John J. Collins,Christianity,1,0
The Desire of Ages,Ellen G. White,Christianity,1,0
The Development and Meaning of Trinitarian Doctrine: Retrieving Nicaea,Khaled Anatoliod,Christianity,1,0
The Divine Comedy of Dante Alighier: Inferno,Allen Mandelbaum,Christianity,1,0
The Divine Comedy of Dante Alighier: Paradiso,Allen Mandelbaum,Christianity,1,0
The Divine Comedy of Dante Alighier: Purgatorio,Allen Mandelbaum,Christianity,1,0
The Early Christian Book,William E. Klingshirn and Linda Safran,Christianity,1,0
The Early Episcopal Career of Athanasius of Alexandria,Duane W.-H. Arnold,Christianity,1,0
The Ecumenical Patriarchate: A Brief Guide,Fr . John Chryssavgis,Christianity,1,0
The Emergence of Christianity: Classical Traditions in Contemporary Perspective,Cynthia White,Christianity,1,0
The Eternal Covenant: Schleiermacher on God and Natural Science,Daniel James Pederson,Christianity,1,0
"The Eucharist- Its Origins and Contexts, Vol. I: Old Testament, Early Judaism, New Testament",David Hellholm and Dieter Sanger,Christianity,1,0
"The Eucharist- Its Origins and Contexts, Vol. II: Patristic Traditions, Iconography",David Hellholm and Dieter Sanger,Christianity,1,0
"The Eucharist- Its Origins and Contexts, Vol. III: Near Eastern and Graeco-Roman Traditions, Archaeology",David Hellholm and Dieter Sanger,Christianity,1,0
The Fabricated Christ,Paul Laffan,Christianity,1,0
The Face of Jesus,Edward Lucie-Smith,Christianity,1,0
"The Fathers of the Church: Barsanuphius and John - Letters, Volume 2",John Chryssavgis,Christianity,1,0
The Forms and Orders of Western Liturgy From the Tenth to the Eighteenth Century,John Harper,Christianity,2,0
The Future of Early Christianity - Essays in Honor of Helmut Koester,Birger A. Pearson,Christianity,1,0
The Geneva Bible: The Annotated New Testament 1602 Edition,Gerald T. Sheppard,Christianity,1,0
The Gospel of Judas,"Rudolphe Kasser, Marvin Meyer, and Gregor Wurst",Christianity,1,0
"The Greatest Book on ""Dispensational Truth"" in the World",Clarence Larkin,Christianity,1,0
The Greek Pursuit of Knowledge,Jacques Brunschwig and Geoffrey E. R. Lloyd,Christianity,1,0
The Harper Collins Study Bible (Student Edition),Harold W. Attridge,Christianity,1,0
The Heliand: The Saxon Gospel,G. Ronald Murphy,Christianity,1,0
The Holy Bible 1611 Edition,N/A,Christianity,1,0
The Inferno: Dante's immortal drama of a journey through hell,John Ciardi,Christianity,1,0
The Letter and the Scroll: What Archaeology Tells Us About the Bible,Robin Currie and Stephen G. Hyslop,Christianity,1,0
The Life and Letters of Hugh Miller,N/A,Christianity,1,0
The Making of Paul: Constructions of the Apostle in Early Christianity,Richard I. Pervo,Christianity,1,0
The Mediators,Henry David Gray,Christianity,1,0
The Monastreies and Monks of Nubia,Artur Obłuski,Christianity,1,0
The Moral World of the First Christians,Wayne A. Meeks,Christianity,1,0
The New American Bible,N/A,Christianity,1,0
The New American Bible: Saint Joseph Edition,N/A,Christianity,1,0
The New Testament and Other Early Christian Writings,Bart D. Ehrman,Christianity,1,0
"The New Testament in Four Versions: King James, Revised Standard, Phillips Modern English, New English Bible",N/A,Christianity,1,0
The New Testament in Its Literary Environment,David E.  Aune,Christianity,1,0
The New Testament in its Social Environment,John E. Stambaugh and David L. Balch,Christianity,1,0
The New Testament: Fortress Commentary on the Bible,"Margaret Aymer, Cynthia Briggs Kittredge, and David A. Sanchez",Christianity,1,0
The Next Christendom: The Coming of Global Christianity,Philip Jenkins,Christianity,1,0
The Next Christendom: The Coming of Global Christianity (revised and expanded edition),Philip Jenkins,Christianity,1,0
The NSRV Concordance,John R. Kohlenberger III,Christianity,1,0
The Old Testament and Apocrypha: Fortress Commentary on the Bible,"Fale A. Yee, Hugh R. Page Jr., Matthewe J.M. Coomber",Christianity,1,0
The Old Testament Story (Ninth Edition),John H. Tullock and Mark McEntire,Christianity,1,0
The Orthodox Church - New Edition,Timothy Ware,Christianity,1,0
The Other Jesus: Stories from World Religions,Todd Outcalt,Christianity,1,0
The Oxford Bible Commentary,John Barton and John Muddiman,Christianity,1,0
The Oxford Dictionary of the Christian Church,F. L. Cross and E. A. Livingstone,Christianity,1,0
The Oxford History of Christianity,John McManners,Christianity,1,0
The Oxford Illustrated History of Medieval Europe,George Holmes,Christianity,1,0
The Oxford Illustrated History of Roman Britain,Peter Salway,Christianity,1,0
The Parable After Jesus: Their Imaginative Recceptions across Two Millennia,David B. Gowler,Christianity,1,0
The Parables of Jesus: Recovering the Art of Listening,Richard Q. Ford,Christianity,1,0
The Paradiso: Dante's ultimate vision of universal  harmony and eternal salvation,John Ciardi,Christianity,1,0
The Pilgrimage of Egeria,"Anne McGowan, Paul F. Bradshaw",Christianity,1,0
The Poets' Book of Psalms,Laurance Wieder,Christianity,1,0
The Purgatorio: Dante's timeless of an ascent through purgatory,John Ciardi,Christianity,1,0
The Rise of Western Christendom,Peter Brown,Christianity,1,0
The Roman Catholics,Patrick W. Carey,Christianity,1,0
The Saxon Savior,G. Ronald Murphy,Christianity,1,0
The Scepter and the Star,John J. Collins,Christianity,1,0
The Search for the Origins of Christian Worship,Paul F. Bradshaw,Christianity,1,0
The Search for the Origins of Christian Worship: Sources and Methods for the Study of Early Liturgy,Paul F. Bradshaw,Christianity,1,0
The Secret of the Kingdom of God,Hugh Humphrey,Christianity,1,0
The Study of Liturgy,"Cheslyn Jones, etc.",Christianity,1,0
"The Text of the New Testament: Its Transmission, Corruption, and Restoration",Bruce M. Metzger and Bart D. Ehrman,Christianity,1,0
The Trinitatarian Theology of Basil of Caesarea: A Synthesis of Greek Thought and Biblical Truth,Stephen M. Hildenbrand,Christianity,1,0
The Unveiled Christ of the Indian Gurus: A Study on the Contemporary Gurus' Interpretations of Jesus Christ,Rodinmawai Ralte,Christianity,1,0
The Westminister Historical Atlas to the Bible (Revised Edition),George Ernest Wright,Christianity,1,0
The World around the Old Testament: The People and Places of the Ancient Near East,Bill T. Arnold and Brent A. Strawn,Christianity,1,0
Theodore of Mopsuestia: Commentary on the Minor Pauline Epistles,Rowen A. Greer,Christianity,1,0
Theodoret of Cyrus,Istvan Pasztori-Kupan,Christianity,1,0
"Theodoret of Cyrus: The Questions on the Octateuch Volume 2: On Leviticus, Numbers, Deuteronomy, Joshua, Judges and Ruth",Robert C. Hill,Christianity,1,0
Theodoret of Cyrus: The Questions on the Octateuch Volume 1: On Genesis and Exodus,Robert C. Hill,Christianity,1,0
Theological Dictionry of the Old Testament - Volumes I-VI,G. Johannes Botterweck and Helmer Ringgren,Christianity,1,0
To Cast The First Stone,"Jennifer Knust, Tommy Wasserman",Christianity,1,0
Understanding the Alphabet of Dead Sea Scrolls,Ada Yardeni,Christianity,1,0
Understanding the Greek Orthodox Church - 4th Edition,Demetrios J. Constantelos,Christianity,1,0
Violence Unveiled: Humanity at the Crossroads,Gil Bailie,Christianity,1,0
Wealth and Poverty in Early Christianity,Helen Rhee,Christianity,1,0
Western Asceticism,Owen Chadwick,Christianity,1,0
What Are They Saying About the Gospel of Thomas?,Christopher W. Skinner,Christianity,1,0
What is the Bible?,Carl Lotmark,Christianity,1,0
Who Wrote the Bible?,Richard Elliott Friedman,Christianity,1,0
"Studia Patristica, Marcion and the Dating of Synoptic Gospels",Markus Vinzent,Christianity,1,0
Egypt's Role in the Hebrew Bible,N/A,Christianity,1,0
Interpreting the New Testament,"Sherri Brown, Francis J. Maloney,",Christianity,1,0
The Reality of Religious Vioence,Hector Avalos,Christianity,1,0
A Brief Introduction to Chirstianity,Christopher Partridge,Christianity,1,0
Magic in Medieval Manuscripts ,Sophie Page,Christianity,1,0
A History of Early Christian Literature,Justo L. González,Christianity,1,0
The Creation of the Baptist New South,Michael E. Williams Sr.,Christianity,1,0
God's Body ,Christoph Markschies,Christianity,1,0
The Paulist Biblical Commentary,N/A,Christianity,1,0
Job A New Translation,Edward Greenstein,Christianity,1,0
The Torah a Woman's Commentary ,"Tamarah Cohn Eskenaz, Andrea L. Weiss",Christianity,1,0
A Companion to Biblical Interpretation in Early Judaism,Matthias Henze,Judaism,1,0
A People Apart: A Political History of the Jews in Europe 1789-1939,David Vital,Judaism,1,0
A Rivalry of Genius: Jewish and Christian Biblical Intrepretation in Late Antiquity,March Hirshman,Judaism,1,0
Antisemitic Hate Signs in Hebrew Illuminated Manuscripts from Medieval Germany,Ruth Mellinkoff,Judaism,1,0
Apocrypha: Jewish Literature of the Hellenistic Age,Nicholas De Lange,Judaism,1,0
Aspiring Women: A History of the Jewish Foundation for Education of Women,Jenna Weissman Joselit,Judaism,1,0
